GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900090154500,New Haven County,50372,0.23716814159292035,0.18019754276078054
G0900090154600,New Haven County,46299,0.15931372549019607,0.18117313150425735
G0900090154700,New Haven County,91049,0.2928054662379421,0.072611859420963
G0900090154800,New Haven County,89333,0.29191155891407783,0.03099001663893511
G0900090154900,New Haven County,65306,0.2765432098765432,0.06600482962167964
G0900090155000,New Haven County,53877,0.1869742198100407,0.12045319022063208
G0900090155100,New Haven County,37305,0.21122403888643393,0.07102367455818606
G0900090157100,New Haven County,61875,0.4330886504799548,0.07790651218537754
G0900090157200,New Haven County,118409,0.5657080451401529,0.02566788894709272
G0900090157300,New Haven County,135972,0.6334578663345787,0.023213747362074162
G0900090157400,New Haven County,131442,0.6108144192256342,0.024539877300613498
G0900090160100,New Haven County,155250,0.7706715395157606,0.019362898188632106
G0900090160200,New Haven County,131250,0.598066949552098,0.05720946915351507
G0900090161100,New Haven County,119653,0.4452340112717471,0.031068313953488372
G0900090165100,New Haven County,74643,0.36459709379128136,0.07398393769773667
G0900090165200,New Haven County,107756,0.7363445378151261,0.044984076433121016
G0900090165300,New Haven County,103681,0.7716262975778547,0.02157639806252752
G0900090165400,New Haven County,82500,0.5655582589889159,0.10336590662323561
G0900090165500,New Haven County,50272,0.12346477052359406,0.12425381384037143
G0900090165600,New Haven County,63228,0.30868861305990286,0.11785830884753509
G0900090165700,New Haven County,78472,0.2863978127136022,0.1316152784169351
G0900090165801,New Haven County,67500,0.3811905952976488,0.08616504854368932
G0900090165802,New Haven County,104107,0.4440993788819876,0.03613604156825697
G0900090165900,New Haven County,110036,0.5166604961125509,0.032547374511789386
G0900090166001,New Haven County,70925,0.524948024948025,0.11855670103092783
G0900090166002,New Haven County,84350,0.5564215520162656,0.03289473684210526
G0900090167100,New Haven County,111639,0.5745188213251575,0.05132655591371188
G0900090167201,New Haven County,78750,0.33428030303030304,0.03998061545917131
G0900090167202,New Haven County,83489,0.3427967381455754,0.04734111543450065
G0900090167300,New Haven County,108088,0.3675503288818019,0.03403565640194489
G0900090170100,New Haven County,30867,0.07760532150776053,0.3287577213452299
G0900090170200,New Haven County,39096,0.14182344428364688,0.1367211131276467
G0900090170300,New Haven County,46116,0.1547049441786284,0.2294250281848929
G0900090170400,New Haven County,61296,0.2413793103448276,0.07620709714950552
G0900090170500,New Haven County,76533,0.2802671262386902,0.0778150747635032
G0900090170600,New Haven County,49811,0.20476431829700964,0.08141878274889158
G0900090170700,New Haven County,63426,0.32655367231638416,0.15907241659886087
G0900090170800,New Haven County,49717,0.21768421052631579,0.2019674146941285
